url_length,num_dots,has_https,domain_age_days,num_special_chars,num_redirects,has_ip_address,urgent_words_count,num_links,label
158,3,1,100,10,4,1,6,14,1
40,1,1,1251,4,1,0,2,0,0
116,6,1,21,17,4,0,3,5,1
96,4,1,59,14,5,0,10,15,1
181,5,1,85,10,2,1,6,8,1
128,9,0,37,10,4,0,7,9,1
43,1,1,395,3,1,0,2,3,0
49,2,1,1164,3,1,0,1,5,0
11,2,1,1406,3,1,0,1,3,0
15,2,1,1618,5,1,0,0,5,0
30,2,1,425,4,0,0,0,2,0
94,10,1,96,15,3,0,6,13,1
55,4,0,84,8,3,1,4,14,1
26,1,1,1030,3,0,0,0,2,0
60,1,1,1013,1,1,0,1,2,0
49,1,1,1899,3,0,0,1,4,0
70,5,0,8,6,3,1,4,7,1
28,2,1,1463,4,0,0,1,4,0
40,3,1,290,1,1,0,0,3,0
89,4,0,40,11,5,0,3,7,1
72,3,0,38,10,5,1,9,9,1
82,4,0,90,8,4,1,7,11,1
57,1,1,645,0,1,0,2,0,0
112,5,1,45,16,4,0,3,4,1
47,2,1,892,1,0,0,2,5,0
162,6,1,86,11,2,1,3,13,1
82,8,0,85,9,3,0,3,14,1
119,5,1,36,9,2,0,3,13,1
11,1,1,1421,0,0,0,0,5,0
45,3,1,1712,2,1,0,2,0,0
137,5,0,18,13,1,1,5,8,1
13,1,1,1914,1,1,0,1,1,0
50,2,1,228,0,1,0,1,4,0
45,1,1,882,2,1,0,2,3,0
31,3,1,931,3,0,0,2,4,0
20,1,1,823,3,0,0,0,3,0
12,1,1,434,5,1,0,0,3,0
104,5,1,85,5,5,0,10,6,1
64,6,0,77,7,4,0,7,15,1
27,1,1,1017,4,0,0,0,5,0
38,2,1,776,2,0,0,1,2,0
16,1,1,1177,1,0,0,2,4,0
45,3,1,1391,0,1,0,0,3,0
95,5,0,2,9,1,0,4,2,1
28,3,1,1571,0,0,0,2,5,0
12,2,1,508,1,1,0,1,0,0
20,3,1,1618,2,1,0,2,3,0
150,3,1,15,6,5,1,10,10,1
139,3,1,31,16,2,0,4,3,1
159,3,1,46,12,5,0,4,12,1
58,2,1,462,3,1,0,2,3,0
92,5,0,4,14,5,1,5,7,1
30,3,1,1923,5,0,0,0,5,0
17,3,1,1190,4,1,0,2,2,0
38,3,1,1461,0,1,0,0,4,0
144,10,1,18,12,4,0,8,7,1
178,7,0,5,14,3,1,6,12,1
50,3,1,1712,5,0,0,2,3,0
175,10,1,19,6,5,1,5,4,1
188,6,0,12,10,3,1,9,14,1
78,9,1,95,13,1,1,5,2,1
30,1,1,1429,5,1,0,2,4,0
39,2,1,520,3,1,0,0,2,0
122,7,0,32,5,3,0,6,14,1
69,9,0,87,8,2,0,6,6,1
13,2,1,894,1,0,0,1,3,0
157,3,0,24,13,1,1,7,13,1
11,2,1,1465,1,0,0,1,0,0
143,6,1,6,13,2,0,7,10,1
48,2,1,1280,0,0,0,0,0,0
44,2,1,1370,3,1,0,1,4,0
105,10,0,15,10,2,1,8,7,1
47,2,1,1592,0,1,0,2,4,0
149,4,0,98,10,2,0,5,14,1
31,1,1,1773,4,1,0,1,0,0
51,1,1,1590,1,0,0,0,5,0
187,9,1,69,13,5,1,5,2,1
38,1,1,752,0,1,0,2,0,0
17,2,1,237,4,0,0,1,1,0
30,2,1,498,4,0,0,0,4,0
68,10,1,50,9,5,1,8,9,1
24,2,1,548,0,1,0,0,5,0
106,10,0,2,12,5,1,9,13,1
34,2,1,690,1,0,0,2,5,0
60,1,1,983,0,1,0,0,4,0
121,8,1,100,16,3,0,10,10,1
75,6,0,89,16,5,0,9,3,1
174,3,0,39,15,3,1,8,3,1
187,7,1,19,12,4,1,7,12,1
16,1,1,528,3,1,0,1,5,0
14,3,1,239,2,0,0,0,1,0
92,6,0,71,18,5,1,10,2,1
195,6,0,8,10,5,0,9,5,1
21,1,1,1351,1,1,0,2,4,0
45,3,1,345,1,0,0,2,2,0
56,1,1,358,2,1,0,1,5,0
121,5,0,61,7,2,1,8,9,1
30,3,1,655,3,1,0,1,0,0
133,6,0,91,13,1,0,6,7,1
25,1,1,851,4,1,0,1,4,0
172,6,1,60,17,4,1,6,7,1
146,10,1,33,16,2,1,7,10,1
162,5,1,46,5,5,1,3,7,1
98,7,1,71,11,5,1,3,6,1
39,1,1,576,2,1,0,1,4,0
51,3,1,1934,0,0,0,0,3,0
11,1,1,769,0,0,0,0,1,0
38,3,1,1587,3,1,0,0,2,0
96,3,1,94,5,1,0,8,9,1
195,10,0,15,20,4,1,3,9,1
42,2,1,371,2,1,0,2,4,0
54,3,1,412,0,1,0,1,5,0
139,3,0,70,20,1,1,3,5,1
155,8,1,50,12,4,0,6,15,1
50,3,1,403,1,0,0,1,5,0
100,3,1,53,6,4,0,3,15,1
185,9,0,69,8,5,0,3,2,1
25,3,1,286,4,1,0,0,3,0
71,5,0,92,10,1,1,3,3,1
49,2,1,1211,2,1,0,0,4,0
60,9,0,77,16,4,1,10,10,1
26,3,1,1224,0,1,0,1,4,0
113,7,1,37,15,4,0,7,3,1
72,7,1,72,16,3,0,8,7,1
23,2,1,330,2,1,0,2,0,0
38,3,1,1591,2,0,0,2,3,0
60,1,1,1544,4,0,0,1,5,0
141,5,1,2,11,3,0,7,5,1
56,4,0,53,18,1,0,5,6,1
81,6,1,69,17,4,1,3,5,1
29,1,1,1525,1,1,0,1,3,0
120,5,1,72,12,1,0,9,2,1
19,1,1,256,4,1,0,1,3,0
77,7,1,85,16,4,0,5,9,1
185,8,1,90,12,3,0,3,2,1
11,3,1,1706,4,1,0,0,2,0
55,8,0,10,14,4,0,5,14,1
38,2,1,1472,0,1,0,2,0,0
142,4,0,100,13,3,0,6,6,1
44,2,1,1668,0,0,0,1,5,0
16,1,1,1113,0,0,0,0,3,0
41,2,1,1642,1,1,0,1,1,0
32,1,1,1132,2,1,0,1,4,0
166,5,1,96,9,5,0,5,5,1
40,3,1,1761,5,1,0,0,1,0
102,10,1,80,7,2,1,5,4,1
195,6,0,21,20,3,1,9,12,1
73,5,1,97,7,4,0,9,13,1
119,3,0,64,15,5,0,4,2,1
58,1,1,1990,1,0,0,2,0,0
92,3,1,98,14,3,0,5,4,1
71,7,0,38,17,2,0,3,15,1
133,8,0,5,10,4,1,6,15,1
28,2,1,826,4,0,0,1,3,0
51,3,1,1361,0,0,0,1,2,0
56,8,0,2,17,2,1,6,5,1
75,4,1,6,9,4,1,3,14,1
158,10,1,80,8,5,1,10,15,1
51,2,1,756,0,0,0,0,3,0
27,2,1,1181,4,0,0,1,5,0
36,3,1,807,1,1,0,1,5,0
16,3,1,228,3,1,0,0,3,0
153,7,1,93,20,2,1,10,10,1
36,1,1,1523,0,1,0,1,1,0
46,2,1,1737,1,0,0,0,5,0
104,8,1,34,18,2,1,9,2,1
37,1,1,1621,2,0,0,0,4,0
192,6,0,1,12,3,1,9,10,1
186,10,1,94,10,3,0,8,7,1
54,2,1,374,4,0,0,0,3,0
65,9,0,83,19,2,1,8,7,1
90,8,0,83,15,5,1,3,3,1
79,5,0,20,9,4,0,3,13,1
27,2,1,1125,5,0,0,0,0,0
105,5,1,4,6,3,1,7,8,1
101,8,1,31,18,1,0,8,2,1
56,3,0,12,7,1,1,5,7,1
26,3,1,997,0,0,0,2,1,0
26,1,1,378,2,1,0,1,2,0
43,3,1,484,5,1,0,0,1,0
128,6,1,89,11,1,0,10,7,1
54,9,1,61,11,1,1,5,12,1
151,8,0,6,13,3,1,7,15,1
24,2,1,1708,1,0,0,0,0,0
90,8,0,51,12,3,0,4,10,1
114,4,0,2,14,3,0,5,7,1
55,9,0,96,10,3,0,9,7,1
24,3,1,1659,5,0,0,2,2,0
192,9,1,44,14,2,1,5,7,1
171,7,1,3,16,2,0,7,5,1
181,6,0,2,6,3,1,9,7,1
37,3,1,765,2,1,0,2,2,0
52,1,1,1134,1,0,0,2,3,0
175,6,0,99,15,4,0,5,15,1
38,1,1,1073,2,0,0,2,3,0
24,3,1,1929,4,1,0,1,4,0
140,4,0,7,13,1,0,6,7,1
17,2,1,461,0,1,0,0,1,0
87,9,0,27,14,4,0,7,6,1
40,3,1,1584,1,1,0,0,1,0
15,1,1,1312,3,0,0,0,4,0
51,2,1,1865,0,0,0,2,2,0
49,3,1,1008,5,1,0,1,0,0
52,2,1,569,5,0,0,0,1,0
172,6,1,91,5,1,1,8,6,1
60,3,1,1740,5,1,0,2,5,0
56,8,1,61,12,1,1,9,11,1
18,1,1,1056,5,0,0,2,3,0
142,3,0,16,11,5,1,5,15,1
50,2,1,312,5,0,0,2,2,0
188,8,0,69,11,1,0,4,3,1
95,4,0,28,7,2,1,10,9,1
27,3,1,577,4,0,0,2,5,0
20,3,1,1537,2,1,0,0,3,0
177,4,0,17,16,5,0,8,3,1
43,2,1,813,3,0,0,2,5,0
31,1,1,783,5,1,0,2,3,0
34,1,1,777,0,0,0,1,3,0
136,10,1,78,12,3,0,4,11,1
15,3,1,575,5,0,0,1,5,0
162,7,1,17,6,3,0,3,12,1
31,1,1,1123,0,0,0,2,0,0
61,4,0,79,13,3,1,6,15,1
106,6,0,23,20,1,0,9,13,1
103,9,0,74,7,5,1,7,8,1
33,1,1,772,3,1,0,1,5,0
101,9,0,19,20,1,0,9,5,1
57,2,1,1541,5,0,0,2,3,0
48,3,1,1427,0,1,0,1,5,0
109,3,1,2,14,3,0,6,8,1
46,1,1,514,1,0,0,1,2,0
34,1,1,847,1,0,0,1,5,0
185,10,1,17,18,1,0,9,10,1
120,8,0,98,16,4,0,9,14,1
162,6,0,23,19,2,1,7,12,1
100,7,1,25,10,1,1,8,14,1
192,10,0,5,13,3,0,8,7,1
35,3,1,219,0,1,0,0,5,0
184,10,0,98,17,5,0,4,8,1
18,3,1,230,5,0,0,2,5,0
196,4,1,63,15,1,1,6,15,1
167,7,0,1,7,4,1,10,13,1
79,10,0,45,15,1,1,3,10,1
133,5,0,33,17,1,0,6,9,1
52,2,1,1721,0,0,0,1,2,0
139,9,0,17,17,2,0,5,15,1
175,3,0,18,13,4,0,10,9,1
62,9,0,11,5,3,1,4,3,1
41,1,1,924,5,1,0,0,0,0
13,1,1,535,3,1,0,0,4,0
96,5,1,90,10,5,0,3,15,1
165,6,1,100,17,1,0,5,12,1
191,4,1,7,5,3,1,4,2,1
63,8,0,92,9,4,1,6,9,1
171,9,0,23,6,5,0,3,10,1
107,7,0,74,14,1,0,8,9,1
80,10,0,88,19,3,1,8,8,1
12,2,1,1059,3,1,0,1,3,0
118,10,0,25,11,5,1,5,14,1
100,7,1,54,14,2,0,4,2,1
132,8,1,25,19,3,0,10,9,1
54,2,1,1996,0,0,0,0,5,0
118,3,1,61,20,4,0,6,10,1
89,5,0,56,20,3,1,7,14,1
143,8,1,17,9,5,1,3,9,1
98,7,0,69,11,4,1,7,13,1
18,1,1,1779,2,0,0,1,4,0
168,4,0,29,20,4,1,10,6,1
57,8,0,42,9,1,1,4,5,1
95,7,0,81,19,4,0,8,15,1
134,9,0,23,12,4,1,4,8,1
34,3,1,1474,0,0,0,1,5,0
196,5,1,100,14,5,1,10,5,1
18,1,1,1676,2,0,0,0,4,0
153,10,0,30,13,4,0,7,11,1
87,9,1,39,18,4,1,5,6,1
52,1,1,922,1,1,0,2,4,0
46,2,1,1145,4,0,0,0,5,0
31,3,1,1897,2,0,0,2,4,0
172,8,1,98,11,5,0,3,8,1
47,1,1,273,3,0,0,2,4,0
77,3,1,33,18,5,0,7,2,1
70,8,1,65,5,1,1,5,4,1
138,3,0,57,18,2,0,3,14,1
142,7,0,84,10,5,1,7,8,1
193,4,0,18,13,2,0,6,10,1
40,3,1,1343,3,1,0,0,0,0
199,9,0,96,7,2,0,5,15,1
128,9,0,29,16,1,0,5,14,1
26,3,1,1801,3,0,0,0,3,0
20,1,1,1480,0,1,0,1,0,0
53,2,1,979,1,0,0,2,3,0
58,1,1,711,1,1,0,2,0,0
162,5,0,84,14,1,0,3,12,1
158,5,1,86,11,3,1,9,7,1
40,2,1,318,3,1,0,2,3,0
182,8,0,1,6,3,0,3,15,1
12,1,1,1975,5,0,0,2,0,0
103,6,1,90,5,3,1,3,6,1
102,3,0,91,10,1,0,3,10,1
100,6,0,44,13,1,0,5,12,1
135,9,0,41,8,1,1,3,11,1
70,5,0,22,8,1,0,4,3,1
154,10,1,41,9,3,1,4,8,1
108,7,1,15,11,3,0,5,2,1
35,3,1,1406,2,1,0,1,5,0
76,10,0,4,13,5,0,7,8,1
84,7,0,67,6,2,0,9,11,1
102,5,1,50,17,2,0,10,7,1
52,5,1,52,18,5,0,4,5,1
20,3,1,279,0,1,0,1,3,0
109,6,0,37,20,2,1,5,7,1
96,3,0,11,20,4,1,8,6,1
152,4,0,34,9,1,0,4,3,1
56,2,1,1717,5,1,0,0,3,0
171,3,0,14,13,3,1,10,10,1
36,2,1,1790,2,0,0,0,1,0
175,9,1,8,9,2,0,8,11,1
97,9,1,25,19,1,0,3,13,1
168,9,0,82,7,5,0,4,12,1
49,2,1,974,2,0,0,1,1,0
181,8,1,87,18,1,0,8,10,1
51,6,1,62,19,3,1,10,8,1
126,4,0,60,12,4,1,7,5,1
191,9,0,34,12,5,1,10,12,1
88,8,1,93,14,4,0,4,10,1
111,3,1,29,16,4,0,10,4,1
47,3,1,1412,3,0,0,2,5,0
52,3,1,481,1,1,0,2,1,0
56,1,1,1614,4,0,0,1,5,0
21,1,1,1926,5,0,0,0,5,0
180,4,1,2,11,5,0,8,5,1
13,2,1,1175,0,1,0,2,5,0
35,1,1,1913,0,0,0,2,1,0
24,2,1,942,0,1,0,1,5,0
97,8,1,59,18,1,1,10,11,1
162,6,0,70,20,2,0,3,7,1
51,4,0,11,14,5,0,10,14,1
181,5,1,43,15,1,0,9,7,1
51,3,1,485,5,1,0,0,1,0
118,9,1,85,10,4,0,6,7,1
55,4,0,19,17,2,1,10,7,1
123,8,1,50,17,3,0,10,5,1
25,3,1,991,4,1,0,0,4,0
43,3,1,535,5,0,0,0,2,0
193,4,0,61,10,2,1,6,12,1
29,3,1,1964,2,0,0,1,4,0
55,1,1,547,5,1,0,1,3,0
31,2,1,694,0,0,0,1,3,0
120,5,0,88,9,5,1,4,12,1
36,3,1,1592,4,1,0,0,2,0
39,3,1,509,1,0,0,0,2,0
110,4,0,34,12,1,1,3,3,1
48,1,1,755,3,1,0,1,1,0
17,1,1,374,3,0,0,0,5,0
49,2,1,1190,4,1,0,1,0,0
77,8,1,86,7,3,0,9,3,1
39,3,1,826,2,1,0,1,1,0
156,9,0,17,19,3,1,5,2,1
160,5,1,95,20,3,1,8,3,1
91,10,0,55,9,5,0,4,6,1
117,8,0,8,6,3,0,6,6,1
53,1,1,1884,5,1,0,0,2,0
52,3,1,1305,0,0,0,0,1,0
73,3,1,80,13,3,0,6,11,1
22,1,1,358,0,1,0,1,4,0
29,3,1,807,1,1,0,1,2,0
46,1,1,1767,0,0,0,1,5,0
181,5,1,81,6,2,1,8,9,1
60,2,1,542,0,0,0,1,3,0
17,2,1,213,2,0,0,0,1,0
59,2,1,1582,3,1,0,0,1,0
16,1,1,516,1,1,0,0,5,0
30,3,1,864,2,1,0,2,2,0
55,3,1,1187,2,1,0,0,1,0
59,2,1,461,0,0,0,1,0,0
48,2,1,1738,1,1,0,2,2,0
115,4,1,89,13,5,1,9,6,1
128,4,1,26,8,1,1,9,12,1
126,4,0,98,11,2,0,6,7,1
30,1,1,1821,0,0,0,0,1,0
58,3,0,83,15,4,1,5,15,1
124,7,0,81,7,5,0,10,3,1
59,8,1,30,17,1,0,7,12,1
64,9,0,23,9,3,0,10,3,1
37,3,1,1500,0,1,0,1,3,0
53,3,1,1448,4,1,0,0,0,0
28,2,1,1485,0,0,0,0,4,0
130,7,1,32,18,4,0,6,11,1
190,5,1,32,9,1,1,7,4,1
16,3,1,480,3,1,0,1,4,0
161,9,1,40,16,2,0,5,10,1
18,1,1,1386,0,0,0,2,3,0
34,1,1,821,2,0,0,0,0,0
49,1,1,1482,0,1,0,2,0,0
35,3,1,972,4,1,0,1,1,0
18,3,1,1399,5,1,0,1,0,0
150,5,0,81,6,2,0,3,12,1
116,6,1,82,10,5,1,6,9,1
49,2,1,517,0,1,0,1,5,0
22,2,1,256,5,0,0,2,0,0
101,3,1,67,20,4,1,3,11,1
74,7,1,17,13,2,1,8,5,1
27,3,1,1324,1,0,0,0,4,0
103,10,1,82,11,1,1,7,4,1
41,3,1,751,4,1,0,2,0,0
43,3,1,676,1,0,0,0,2,0
82,4,0,45,6,1,0,9,9,1
54,10,0,24,14,5,1,9,11,1
53,3,1,966,3,0,0,0,4,0
143,5,1,47,9,3,1,10,12,1
88,7,0,19,20,2,0,4,6,1
19,1,1,436,1,1,0,0,2,0
110,5,1,18,11,1,1,9,11,1
192,9,1,36,12,4,0,7,12,1
25,2,1,746,2,0,0,1,4,0
77,9,0,13,8,5,1,8,15,1
199,5,1,76,18,5,1,6,4,1
101,9,1,58,10,3,1,3,9,1
60,10,1,43,15,3,0,6,10,1
192,6,0,20,6,5,1,9,5,1
149,6,0,54,14,5,0,6,11,1
197,10,0,25,15,5,0,4,14,1
28,2,1,392,1,0,0,0,3,0
85,7,0,77,19,3,0,8,14,1
60,3,1,1164,5,0,0,2,1,0
11,2,1,1845,1,0,0,1,0,0
117,6,0,76,11,4,0,8,9,1
51,6,0,100,9,4,1,10,15,1
115,6,1,27,14,4,1,3,6,1
184,3,1,65,20,4,0,7,7,1
19,2,1,1150,1,1,0,1,4,0
52,7,0,98,16,1,1,7,12,1
18,1,1,389,2,1,0,2,4,0
102,7,1,70,7,4,1,9,5,1
20,1,1,265,2,0,0,2,3,0
148,5,0,18,5,3,0,10,11,1
50,1,1,1107,4,1,0,1,1,0
47,1,1,500,1,1,0,0,0,0
159,7,1,8,5,5,0,8,9,1
70,8,0,79,13,2,1,10,10,1
38,1,1,1795,2,0,0,0,3,0
59,9,0,71,6,4,1,3,2,1
10,1,1,767,4,1,0,2,1,0
142,9,1,93,10,5,1,7,10,1
62,6,1,67,11,1,0,8,12,1
153,5,1,10,16,2,0,3,14,1
162,6,0,21,17,1,0,6,8,1
196,3,1,11,17,5,0,3,7,1
40,2,1,1165,4,0,0,0,4,0
187,4,1,34,6,1,1,8,7,1
44,3,1,1724,0,0,0,0,3,0
62,10,0,26,15,4,1,7,9,1
190,8,0,52,14,1,0,8,10,1
130,5,0,83,9,2,0,9,6,1
21,1,1,1391,2,0,0,2,5,0
29,3,1,245,2,1,0,1,0,0
40,3,1,1644,3,1,0,2,1,0
193,3,0,88,15,1,0,5,7,1
164,8,0,36,6,1,1,4,4,1
51,5,1,20,11,1,1,4,14,1
34,3,1,914,4,1,0,2,3,0
129,4,0,85,10,2,1,5,12,1
165,9,0,74,17,1,1,5,4,1
175,6,1,87,16,5,0,7,10,1
62,4,1,10,8,4,1,4,15,1
55,2,1,1676,1,0,0,2,1,0
135,5,1,5,5,4,1,7,5,1
33,3,1,1763,5,1,0,1,2,0
29,1,1,1700,1,1,0,2,5,0
106,9,0,71,11,3,1,6,14,1
33,3,1,1672,2,0,0,0,5,0
197,8,0,5,19,5,1,7,2,1
39,3,1,554,2,1,0,0,1,0
115,7,0,17,14,3,0,4,4,1
118,10,0,97,13,3,1,7,5,1
179,7,1,48,12,5,1,5,11,1
98,9,1,71,16,4,0,6,7,1
18,3,1,957,4,0,0,2,1,0
35,3,1,1655,0,1,0,0,5,0
47,3,1,633,4,0,0,0,0,0
16,3,1,1792,3,1,0,1,3,0
151,7,1,24,6,4,0,6,2,1
53,1,1,838,1,0,0,0,0,0
36,1,1,1366,4,1,0,2,4,0
42,3,1,1879,3,0,0,0,5,0
52,1,1,466,2,0,0,0,0,0
48,2,1,314,2,0,0,0,0,0
30,3,1,1410,5,1,0,1,5,0
48,2,1,1364,3,1,0,1,1,0
62,4,0,87,11,5,0,7,10,1
128,8,1,2,13,5,1,8,4,1
42,3,1,1992,0,1,0,0,5,0
62,7,1,1,15,3,0,7,5,1
55,1,1,1693,2,0,0,2,4,0
34,3,1,833,5,0,0,1,3,0
53,1,1,1785,3,1,0,2,2,0
137,4,0,59,12,3,0,3,2,1
20,1,1,1855,0,1,0,1,0,0
87,7,1,55,16,5,1,6,8,1
25,1,1,1120,3,0,0,1,4,0
15,3,1,250,1,0,0,1,2,0
37,1,1,1682,1,0,0,2,4,0
101,7,0,28,8,1,0,10,10,1
148,7,0,75,7,3,1,6,14,1
29,1,1,478,1,1,0,2,0,0
52,2,1,1837,2,0,0,0,1,0
44,1,1,388,4,0,0,0,3,0
55,3,1,1356,4,0,0,0,3,0
31,3,1,486,2,0,0,0,1,0
142,3,0,29,8,4,0,10,3,1
50,1,1,475,2,1,0,2,0,0
169,9,1,5,12,3,0,4,7,1
56,1,1,627,1,0,0,2,5,0
131,7,1,58,8,2,0,7,12,1
87,5,1,19,13,5,1,5,14,1
192,4,1,15,18,4,0,4,9,1
163,8,0,24,8,2,1,4,13,1
96,5,0,98,11,4,1,4,13,1
59,3,1,1034,4,1,0,1,5,0
14,2,1,539,3,1,0,0,0,0
128,7,0,86,19,4,1,10,11,1
68,10,0,90,19,4,0,4,10,1
170,10,0,74,13,4,0,5,15,1
87,5,0,71,11,2,0,8,13,1
29,2,1,489,4,0,0,1,0,0
175,3,0,61,5,3,0,5,15,1
27,1,1,1117,0,0,0,2,2,0
37,1,1,1540,3,0,0,2,4,0
199,6,0,51,20,2,1,8,9,1
104,9,0,80,17,2,1,6,2,1
76,3,1,25,16,5,1,9,12,1
46,1,1,1176,4,1,0,2,5,0
173,8,1,53,15,1,0,5,14,1
14,1,1,609,4,1,0,0,0,0
52,2,1,1373,2,0,0,2,0,0
57,1,1,1607,4,0,0,2,0,0
152,5,1,38,16,5,1,3,2,1
67,10,0,72,19,3,0,8,5,1
75,3,1,76,18,2,0,9,13,1
113,4,0,99,16,5,1,8,7,1
22,1,1,1473,3,0,0,0,2,0
141,9,0,36,16,4,1,8,5,1
79,8,0,72,13,1,0,10,15,1
121,8,1,13,6,3,1,9,3,1
13,1,1,1385,5,1,0,0,4,0
40,2,1,1876,5,0,0,1,0,0
94,9,0,15,15,5,1,8,4,1
16,3,1,1825,0,0,0,0,5,0
135,5,1,27,20,1,1,6,10,1
173,6,0,23,19,2,0,4,15,1
37,3,1,419,1,0,0,1,2,0
93,3,0,2,17,4,0,3,4,1
13,1,1,390,4,1,0,2,4,0
156,6,1,5,6,3,1,8,5,1
154,5,1,75,18,2,0,4,8,1
80,5,0,82,14,5,1,9,9,1
138,5,0,49,18,1,0,3,11,1
44,1,1,1851,0,1,0,1,5,0
28,1,1,1535,2,0,0,2,2,0
83,10,0,20,5,4,0,9,13,1
138,8,1,14,8,3,0,8,15,1
